,UnixTimestamp_x,EUR,GBP,CHF,AUD,CAD,JPY,CNY,RAI
2022-02-08,1644278400,1.1420153144253664,1.354673963843752,1.0808590667862816,0.7144000182886405,0.7870421382360812,0.0086532865857409,0.15706469950460222,3.025091870118881
2022-02-09,1644364800,1.142197931479546,1.353317319078391,1.0819009865855096,0.71769991531141,0.7888612787441329,0.008651194288287745,0.15716091942281082,3.024745674494777
2022-02-10,1644451200,1.1414183035556322,1.3551145410565828,1.0803044297883144,0.7161600073334785,0.7853824616242495,0.008617045536329051,0.15737882420706648,3.0243877982884744
2022-02-11,1644537600,1.1349398027928599,1.355899110259004,1.0799719207300609,0.713056710113212,0.7851820444570073,0.008650740537993013,0.15736621825687327,3.0240518112442407
2022-02-12,1644624000,1.1349398027928599,1.3562503475391516,1.0797480299997193,0.7136001484288308,0.7851820444570073,0.008628348057896905,0.15736621825687327,3.023751504700559
2022-02-13,1644710400,1.136693018999824,1.3570914815367703,1.0815078382280576,0.7148218306587083,0.7860708249813309,0.008651529374105108,0.15736631731344225,3.023492374265856
2022-02-14,1644796800,1.1305630769404702,1.3532165958483313,1.081554626620304,0.7130851844430485,0.7855768097725755,0.008655386188401186,0.15729700821090384,3.0232525074170518
2022-02-15,1644883200,1.135647404193946,1.354031968694781,1.080491191295563,0.7148116113998155,0.7858947608325769,0.008647525984756262,0.1577387581164478,3.023004799360944
2022-02-17,1645056000,1.136615500025574,1.3617948456065094,1.0871905040432615,0.7188349123740242,0.7870142646335465,0.008705567815655074,0.157795881874634,3.022730049267766
2022-02-18,1645142400,1.1322412489073872,1.3594196909223393,1.0851718858008514,0.7173997415926131,0.7839140830165015,0.008695765294477222,0.1580951682322304,3.0224875915887965
2022-02-20,1645315200,1.13166337541235,1.3592035067450474,1.0858706510880423,0.7171399312119378,0.7838772134732814,0.00869848878892663,0.15809531819686598,3.0221265395661145
2022-02-21,1645401600,1.1306781242049921,1.3594437156315635,1.0916196360540134,0.7185100401000453,0.7838741411678941,0.008723266166015741,0.15784559701545545,3.0219567600626758
2022-02-22,1645488000,1.1329326528184533,1.3589726167017733,1.0850929924694546,0.7228060487301382,0.7832601637797002,0.008689302787027831,0.15806775447841515,3.021747562048523
2022-02-23,1645574400,1.1305375140610603,1.3545179947715604,1.0896759739523856,0.7227700015756385,0.7852899486813019,0.00870409128238169,0.15838317387843331,3.0215253607411494
2022-02-24,1645660800,1.118941213066548,1.3372470095813749,1.0800419056259383,0.7160051495090353,0.7806248902246248,0.008653401077810525,0.1580177994409646,3.021353867809137
2022-02-25,1645747200,1.1272635451987592,1.3400999446538722,1.0797806749493044,0.722579899272362,0.7865685553488628,0.008653775126322616,0.15830038574638,3.0211676062691937
2022-02-26,1645833600,1.1272635451987592,1.3407503643489116,1.0802309101593557,0.7234000380508421,0.7865685553488628,0.008654633725515176,0.15830038574638,3.020943786865232
